antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"['REGENCY TEA PLATE PINK', 'REGENCY TEA PLATE ROSES ']",['REGENCY TEA PLATE GREEN '],0.011407003564688614,0.01618788005871252,0.010819878381211994,0.9485294117647058,58.595035812252355,1.0,0.010635223175677508,19.11406404457357,0.9942754110026679,0.6449999999999999,0.9476825023883972,0.8084615970740627
"['CHARLOTTE BAG PINK POLKADOT', 'WOODLAND CHARLOTTE BAG', 'STRAWBERRY CHARLOTTE BAG']",['RED RETROSPOT CHARLOTTE BAG'],0.01107150345984483,0.04403438876074649,0.010190815684629902,0.9204545454545455,20.903084415584416,1.0,0.009703288797113145,12.01785339843634,0.9628200355904866,0.226890756302521,0.9167904644160403,0.5759415584415585
"['REGENCY TEA PLATE GREEN ', 'REGENCY TEA PLATE PINK']",['REGENCY TEA PLATE ROSES '],0.011826378695743342,0.01916544348920109,0.010819878381211994,0.9148936170212767,47.736626472368364,1.0,0.010593220588636834,11.5248060390019,0.9907689331618651,0.5363825363825364,0.9132306438289868,0.7397225196703758
"['CHARLOTTE BAG PINK POLKADOT', 'CHARLOTTE BAG SUKI DESIGN', 'STRAWBERRY CHARLOTTE BAG']",['RED RETROSPOT CHARLOTTE BAG'],0.011448941077794086,0.04403438876074649,0.010358565737051793,0.9047619047619049,20.546712018140592,1.0,0.009854418614733329,10.037638918012174,0.9623482811899934,0.22955390334572492,0.9003749778042387,0.5700000000000001
"['REGENCY CAKESTAND 3 TIER', 'PINK REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER ']",['GREEN REGENCY TEACUP AND SAUCER'],0.014132941916544349,0.044327951352484796,0.012707066470958272,0.8991097922848664,20.283134339671374,1.0,0.012080582109214201,9.47239648218272,0.9643267287422975,0.2777268560953254,0.8944300946565139,0.592885075896454
['REGENCY TEA PLATE PINK'],['REGENCY TEA PLATE GREEN '],0.013168379115118473,0.01618788005871252,0.011826378695743342,0.8980891719745223,55.47910960034322,1.0,0.011613210554060149,9.653656426923886,0.9950787718992089,0.6746411483253588,0.8964123068217948,0.8143295600805254
"['SET/6 RED SPOTTY PAPER CUPS', 'SET/20 RED RETROSPOT PAPER NAPKINS ']",['SET/6 RED SPOTTY PAPER PLATES'],0.012413503879219962,0.02210106940658419,0.011113440972950304,0.8952702702702703,40.508006820862605,1.0,0.010839089262136762,9.337357530827456,0.9875727607709976,0.474910394265233,0.8929033190923147,0.6990582850402585
"['PINK REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER ']",['GREEN REGENCY TEACUP AND SAUCER'],0.025749633046760326,0.044327951352484796,0.023023694694904593,0.8941368078175896,20.17094813851507,1.0,0.021882266213863466,9.027425197993457,0.9755436391248771,0.4893048128342246,0.8892264429704417,0.7067656602947929
"['REGENCY CAKESTAND 3 TIER', 'PINK REGENCY TEACUP AND SAUCER', 'GREEN REGENCY TEACUP AND SAUCER']",['ROSES REGENCY TEACUP AND SAUCER '],0.014510379534493604,0.046970014678129585,0.012707066470958272,0.8757225433526011,18.64428932700248,1.0,0.012025513731237876,7.668566858636445,0.9602985703906788,0.2605331040412726,0.8695975377884609,0.5731291288191577
"['JUMBO SHOPPER VINTAGE RED PAISLEY', 'JUMBO STORAGE BAG SUKI', 'JUMBO BAG PINK POLKADOT']",['JUMBO BAG RED RETROSPOT'],0.013000629062696582,0.08953659048018453,0.011281191025372195,0.8677419354838709,9.691478431668806,1.0,0.010117159025000745,6.883991632954698,0.9086293213540223,0.12362132352941176,0.8547354422668311,0.49686862582156077
